short_id,dam_name,survey_yr1,survey_yr2
22654,Mitchell,1928,1969
23027,Big Bend Dam,1963,2012
23028,Fort Randall Dam,1950,2011
23029,Gavins Point Dam,1955,2022
23030,Oahe Dam,1958,2010
23036,Angostura,1949,2004
23037,Belle Fourche,1911,2006
23075,Shadehill,1950,1993
24048,Canyon Lake Dam,1933,1970
24410,Norris Dam,1936,1960
24413,Cove Lake,1936,1960
24478,Radnor,1915,1940
24515,Nolichucky Dam,1913,1970
24577,Cherokee Dam,1941,1964
24724,Douglas Dam,1943,1967
24733,Cordell Hull Lock and Dam,1965,1993
24749,Great Falls Dam,1935,1969
24755,Bardwell Dam,1965,1999
24756,Belton Dam,1949,2015
24757,Benbrook Dam,1952,1998
24758,Grapevine Dam,1966,2011
24760,Lavon Dam,1946,2011
24761,Lewisville Dam,1965,2007
24762,Navarro Mills Dam,1956,2008
24763,Proctor Dam,1964,2012
24764,Sam Rayburn Dam,1965,2004
24766,Town Bluff Dam,1947,2011
24767,Waco Dam,1995,2011
24768,Whitney Dam,1959,2005
24769,Wright Patman Dam,1956,2010
24796,Conroe Dam,1973,2020
24847,Wolf Creek Lake Dam,1919,1939
24855,Blackburn Crossing Dam,1962,2012
24859,Lake Athens Dam,1962,1998
24883,Joe B Hogsett Dam,1966,2017
24917,Murvaul Bayou Dam,1958,1998
25020,Iron Bridge Dam,1960,2009
25090,Buckner Dam,1957,2006
25173,Fairfield Lake Dam,1969,1999
25179,Amon G Carter Dam,1956,1980
25254,Eagle Mountain Dam,1934,2018
25257,Lake Worth Dam,1969,2001
25285,Rockwall-Forney Dam,1968,2015
25287,White Rock Dam,1911,2015
25368,Santa Rosa Dam,1929,1976
25380,Lometa Dam,1912,1941
25382,Wirtz Dam,1951,2020
25384,Lcra Inks Dam,1938,2021
25385,Buchanan Dam,1937,2019
25402,Lake Kickapoo Dam,1946,2013
25436,Bistone Dam,1961,2008
25458,Mansfield Dam,1940,2019
25588,Lake Weatherford Dam,1957,2008
25591,Lake Mineral Wells Dam,1920,2015
25621,South Prong Dam,1956,2020
25744,Bridgeport Dam,1931,2020
25894,Medina Lake Dam,1913,1995
25922,Gordon Country Club Lake Dam,1898,1959
25939,Lake Crook Dam,1923,2003
26053,Mcclellan Dam,1940,1979
26068,Coleman Dam,1966,2006
26190,Red Bluff Dam,1936,2012
26241,Fort Phantom Hill Dam,1938,1993
26318,Lake Halbert Dam,1921,1999
26414,Lake Abilene Dam,1921,1948
26493,Lake Brownwood Dam,1932,2019
26534,Wills Point Reservoir Dam,1914,1938
26567,Lake Arrowhead Dam,1969,2013
26635,Elkins Lake Dam,1930,1950
26761,Nasworthy Dam,1930,1993
26846,Ballinger City Lake Dam,1947,1970
26859,Houston County Lake Dam,1966,1999
26870,Franklin County Dam,1970,2007
26891,Lake Merritt Dam,1917,1940
26926,Terrell Country Club Lake Dam,1955,1997
26940,Lake Houston Dam,1954,2018
26955,Lake Cherokee Dam,1948,2015
26985,Lake Eanes Dam,1926,1946
27089,Hubbard Creek Dam,1997,2017
